66,TARACHAND,56.5,58.7,56,57.95,57.95,55.5,12000,691700,2022-01-28,6,INE555Z01012,Tara Chand Logistic Solutions Limited,2018-03-23,10,INE555Z01012,10
67,THEJO,1319.95,1319.95,1230.05,1272.45,1314.9,1261.55,1650,2138992.5,2022-01-28,10,INE121N01019,Thejo Engineering Limited,2012-09-18,10,INE121N01019,10
68,TIMESCAN,144.8,161.15,144,157.35,157.7,134.3,176000,27343500,2022-01-28,87,INE0IJY01014,Timescan Logistics (India) Limited,2022-01-12,10,INE0IJY01014,10
69,TIRUPATI,59.6,59.6,59.6,59.6,59.6,56.8,3000,178800,2022-01-28,1,INE238Y01018,Shree Tirupati Balajee FIBC Limited,2017-10-05,10,INE238Y01018,10
70,TRANSWIND,9.85,9.85,9.85,9.85,9.85,10.35,8000,78800,2022-01-28,2,INE792X01016,Transwind Infrastructures Limited,2017-07-12,10,INE792X01016,10
71,UCL,59,59,59,59,59,53.5,2000,118000,2022-01-28,1,INE00NI01015,Ushanti Colour Chem Limited,2018-08-02,10,INE00NI01015,10
72,VASA,7.75,7.75,7.75,7.75,7.75,7.4,4000,31000,2022-01-28,1,INE068Z01016,Vasa Retail and Overseas Ltd,2018-02-06,10,INE068Z01016,10
73,VCL,86,87,86,87,87,84.25,5000,432500,2022-01-28,2,INE098201010,Vaxtex Cotfab Limited,2020-01-13,10,INE098201010,10
74,VINNY,39.6,46,39.6,40.1,40.1,44,36000,1458900,2022-01-28,9,INE01KI01019,Vinny Overseas Limited,2018-10-11,10,INE01KI01019,10
75,VIVO,294.45,301,286,301,301,280,9600,2794320,2022-01-28,4,INE0IA701014,Vivo Collaboration Solutions Limited,2021-12-31,10,INE0IA701014,10
76,VMARCIND,47.8,49.45,45.25,46.95,47,45.95,51000,2427750,2022-01-28,16,INE0GXK01018,V Marc India Limited,2021-04-09,10,INE0GXK01018,10
77,VSCL,27.1,27.1,27.1,27.1,27.1,25.85,3000,81300,2022-01-28,1,INE551Q01028,Vadivarhe Speciality Chemicals Limited,2017-06-02,10,INE551Q01028,10
78,WALPAR,31.2,31.2,29.65,29.65,29.65,31.2,6000,181000,2022-01-28,3,INE0G2G01015,Walpar Nutritions Limited,2021-07-13,10,INE0G2G01015,10
79,WEWIN,39.8,39.8,39.8,39.8,39.8,37.95,9000,358200,2022-01-28,3,INE082W01014,WE WIN LIMITED,2017-08-09,10,INE082W01014,10
